"X","time_rstan","time_rinla","alpha_mean_diff_stan","beta_mean_diff_stan","tau_nu_mean_diff_stan","alpha_q_stan","beta_q_stan","tau_nu_q_stan","alpha_mean_diff_inla","beta_mean_diff_inla","tau_nu_mean_diff_inla","alpha_q_inla","beta_q_inla","tau_nu_q_inla"
"Total22",0.783,0.925107955932617,-0.101150018613956,0.0100093546633104,89.2464105029624,0.66425,0.40675,0.29075,-0.0960111898096803,0.0100068183471997,91.0509140578461,0.654616689624901,0.414625895600764,0.299889178885479
"Total23",0.65,0.966565132141113,-0.0906047906653706,-0.017732774835087,-26.7711587893174,0.59175,0.58975,0.65725,-0.0927560551120901,-0.0155618552337393,-28.4898032361742,0.595832520098337,0.575361879074786,0.668686600722654
"Total24",1.648,0.91414999961853,0.107412249115108,-0.0157321726973063,43.7237938122433,0.276,0.68875,0.39225,0.108934688407587,-0.0159787147007034,43.6501798298517,0.263345714130038,0.700129571347582,0.386071124268021
"Total25",1.805,1.22504091262817,0.0538273509200626,-0.00742028476643941,-289.034169484222,0.25675,0.7,0.992,0.0584912667928003,-0.00822797038209633,-293.317935860699,0.236909578231399,0.721989125654977,0.993433212252997
"Total26",0.732,0.920351028442383,-0.842093963954931,0.16496295671993,42.0220407994957,0.9945,0.0065,0.47325,-0.845632279947131,0.166540360281348,40.8923924572519,0.994547058591026,0.00684910899454216,0.475794857520243
"Total27",1.069,0.905399084091187,-0.141008325097434,0.0233134749509865,27.4836975161588,0.77325,0.262,0.25075,-0.134352447616481,0.0222251679544879,29.4792244797733,0.764117914049089,0.276339776869659,0.248739278145134
"Total28",1.64,0.940651893615723,-0.129848806868025,0.0190982600280938,-22.7478186626141,0.856,0.2035,0.7965,-0.128810653517161,0.0189675948469703,-22.0015495912345,0.854064717181731,0.209167464561072,0.78910982784581
"Total29",0.889,1.02729797363281,-0.207229619620104,0.0278086789403793,-46.8575900228194,0.8295,0.249,0.70975,-0.208306327123401,0.0285293262868761,-47.5416703887329,0.826524611757558,0.254125386177425,0.720183510419446
"Total30",1.629,1.01752114295959,-0.128841581922436,0.0282361845449831,90.6287291621539,0.9045,0.06075,0.252,-0.128555327330413,0.0281989560183403,90.8971589051365,0.905363805244126,0.0611013014512093,0.256111804083884
"Total31",1.131,0.917686939239502,0.087722072829015,-0.0203097921885668,133.789998635361,0.33,0.7125,0.163,0.0871452611052098,-0.0198184503205533,133.532701966895,0.332923799122528,0.708636945094314,0.167937877981198
"Total32",1.164,0.919517993927002,0.399311344530624,-0.0649232747265439,153.894954524607,0.001,0.998,0.021,0.402461048247642,-0.0653472012637716,152.254303644916,0.000840388589078825,0.997536636390085,0.0231783373455804
"Total33",1.844,0.936423063278198,0.165894230397418,-0.0293359479617554,-0.284421204347446,0.13575,0.85175,0.575,0.170663236140885,-0.0301729151111768,-0.263479411827966,0.132787183262064,0.859001488166014,0.580568093769297
"Total34",1.668,0.968884944915771,0.0939761746368235,-0.0186255921553828,-122.724048236441,0.19825,0.8175,0.9735,0.0985614466531588,-0.0195199561476959,-123.554100553403,0.19061132240353,0.829271126616564,0.977198748016495
"Total35",0.917,1.23239278793335,-0.239937381044355,0.0320998286832453,-75.6433612874421,0.87675,0.21075,0.75925,-0.236060890265774,0.0317926144110782,-75.7528525054173,0.873116065738294,0.207683723958017,0.760410589771915
"Total36",1.171,0.912958145141602,-0.000924696233306599,-0.00117764446477964,162.083737829199,0.5035,0.5145,0.04625,0.001047541963763,-0.00140990082326775,163.353922723537,0.498169416281008,0.523999174842315,0.0491903344853154
